
======================================================================
Điểm Trung Tâm: Centroid {Exam3=75.5766497461929, Exam4=51.42233502538071, Exam5=72.84263959390863, Exam6=71.3238578680203, Exam1=69.75634517766497, Exam2=72.35634517766498, Exam7=52.457868020304566}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131171     48.769872770928     
SID20131177     99.40921416373273     
SID20131184     39.8298918784224     
SID20131265     31.532047717198964     
SID20131314     47.32803745863982     
SID20131331     59.95695564904577     
SID20131364     41.324050380362     
SID20131407     43.073977006641094     
SID20131420     30.009913467655302     
SID20131438     41.13203924593397     
SID20131443     38.788322890150525     
SID20131446     25.049088511763642     
SID20131506     35.614831547167455     
SID20131603     31.146061385650306     
SID20131703     54.69590118869761     
SID20131817     40.01575809832765     
SID20131823     75.26251844700592     
SID20131826     46.25974977756977     
SID20131834     42.92435777146239     
SID20131931     51.4277274433839     
SID20131936     34.84340578417569     
SID20131978     37.21969325820186     
SID20131998     51.0247872752885     
SID20132012     75.1937665006173     
SID20132171     48.606051123584855     
SID20132193     32.841984129534346     
SID20132217     31.012196433918636     
SID20132356     29.32966798486912     
SID20132371     40.76523081489907     
SID20132388     53.48731034801707     
SID20132511     47.08611812996858     
SID20132530     42.118457349282956     
SID20132579     44.36591025360097     
SID20132626     39.635573197335454     
SID20132735     42.778427870922656     
SID20132743     41.326924677387666     
SID20132852     31.13809071118827     
SID20132856     56.36982652877675     
SID20132910     74.96479026471431     
SID20132913     62.7487859226181     
SID20132917     83.97119389289453     
SID20132928     42.59473744026596     
SID20132939     70.07060241342167     
SID20133050     48.90468283081755     
SID20133084     42.64191573325651     
SID20133098     48.635951929017935     
SID20133123     32.23034139341622     
SID20133226     54.842182278767694     
SID20133262     32.35590442262756     
SID20133276     55.25424376968262     
SID20133282     26.050555743774627     
SID20133342     67.29147887872885     
SID20133388     53.31830461336683     
SID20133390     34.94116857900017     
SID20133507     54.01974618046764     
SID20133527     52.13392537850658     
SID20133560     46.17459673341522     
SID20133680     54.41549106419494     
SID20133807     39.16116618275063     
SID20133809     58.18923254785844     
SID20133812     39.68450429267636     
SID20133822     45.331368580731684     
SID20133823     53.838817377334415     
SID20133848     32.07192080786092     
SID20133872     46.582975286462805     
SID20133932     54.75699879000348     
SID20134063     19.77338576240163     
SID20134101     45.11716256717403     
SID20134168     40.377784296711894     
SID20134176     40.202671612883094     
SID20134424     31.671761714380597     
SID20134504     33.235431261046294     
SID20134538     35.21553623942955     
SID20134683     65.86281684210574     
SID20134703     46.35285087789906     
SID20134805     46.267177989672525     
SID20134816     71.18548005956536     
SID20134891     61.64057420700801     
SID20134899     45.53387741704605     
SID20135073     46.29438995012166     
SID20135122     33.67337864216775     
SID20135166     29.215651579232375     
SID20135169     48.523038462838535     
SID20135178     56.58864823780335     
SID20135297     34.5011731241895     
SID20135298     79.63897588455178     
SID20135312     41.84883338367675     
SID20135331     45.60221945285684     
SID20135382     27.05414729817945     
SID20135405     66.76101010161497     
SID20135469     29.13551364000854     
SID20135654     84.14218075057873     
SID20135661     35.080776732904226     
SID20135678     59.87590367039408     
SID20135707     33.58205320106415     
SID20135731     37.19322549991367     
SID20135785     37.0312802711289     
SID20135789     43.82060779767298     
SID20136006     103.25277731415957     
SID20136067     29.773237441660246     
SID20136094     41.13027443215129     
SID20136107     67.27218734811674     
SID20136119     44.151952463465975     
SID20136208     27.548369694659257     
SID20136282     47.36592601169426     
SID20136307     43.18404695500761     
SID20136416     49.34127484974509     
SID20136421     37.0014814182938     
SID20136563     69.39834974223304     
SID20136649     43.88763898382708     
SID20136701     47.44857737771119     
SID20136751     39.150574646723214     
SID20136775     26.62190584468296     
SID20136788     34.41728084926193     
SID20136794     45.668369606088305     
SID20136798     46.14595013045844     
SID20136812     80.77549248085074     
SID20136814     59.84357768035673     
SID20136833     45.31601371733352     
SID20136876     69.86189409426058     
SID20136918     37.64386930409618     
SID20137021     29.891767244105075     
SID20137097     24.317610396000923     
SID20137174     31.662849257251434     
SID20137235     39.74632738824967     
SID20137236     52.65278452768572     
SID20137257     97.55526343618091     
SID20137365     82.02833472778984     
SID20137396     33.60027771732455     
SID20137398     47.078323147676706     
SID20137424     40.80934976403778     
SID20137467     57.9384671209552     
SID20137574     45.593647508596966     
SID20137616     31.92780534349167     
SID20137674     51.56885872888906     
SID20137865     43.27781793974252     
SID20137918     34.63666351766076     
SID20137931     33.6765441687288     
SID20137981     35.80453113061764     
SID20138021     41.60348217002015     
SID20138039     22.887431053851124     
SID20138144     50.61474858533293     
SID20138150     46.6547855853104     
SID20138208     48.102977342143795     
SID20138246     45.671648479818174     
SID20138259     37.74028241134986     
SID20138292     27.38084444236095     
SID20138428     55.271163415663054     
SID20138433     22.11196664190473     
SID20138450     46.56637621337744     
SID20138486     46.6342500955111     
SID20138510     39.49296644621604     
SID20138514     65.99805398408664     
SID20138523     29.38325402327076     
SID20138574     46.152428787507006     
SID20138663     36.98648378094748     
SID20138684     32.689323343423304     
SID20138744     39.213485491693106     
SID20138788     39.10043014214327     
SID20138845     39.67741731019327     
SID20138867     39.31099460963947     
SID20138886     45.18049512609061     
SID20138909     39.02486494532857     
SID20138916     49.69940079448728     
SID20138939     35.33990113059055     
SID20138952     41.35287028678238     
SID20138981     63.59520607943179     
SID20139016     42.14721580053865     
