
======================================================================
Điểm Trung Tâm: Centroid {Exam3=86.1593220338983, Exam4=54.14237288135593, Exam5=70.89152542372881, Exam6=85.62372881355932, Exam1=66.00338983050847, Exam2=81.08474576271186, Exam7=72.04745762711865}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131265     24.285064917604892     
SID20131407     39.76581836522006     
SID20131764     22.09582302159022     
SID20131817     28.280105693796198     
SID20131826     40.388263588317365     
SID20131946     36.27253205170704     
SID20131998     37.216111488486675     
SID20132369     35.07495564709248     
SID20132530     24.41793530364436     
SID20132626     40.04440296172186     
SID20132743     35.3083507444     
SID20132852     38.04802903759279     
SID20132928     30.76259513448461     
SID20133050     38.37166554940422     
SID20133084     36.03117724949446     
SID20133123     35.47734973407651     
SID20133282     23.601529074669152     
SID20133306     26.20845325691847     
SID20133467     30.906172469206716     
SID20133527     33.29220866378951     
SID20133626     50.594114065297     
SID20133822     34.676006041662816     
SID20133823     35.75858278034888     
SID20133872     28.535704160763036     
SID20134101     31.8760040201022     
SID20134454     34.89308083154438     
SID20134870     42.8236229566933     
SID20134894     47.57091019411288     
SID20134899     37.17838316364031     
SID20135312     39.03833368237369     
SID20135775     26.446395513933513     
SID20135919     33.54776465944496     
SID20136094     43.761080592947586     
SID20136208     36.24537335877078     
SID20136282     44.81564842947136     
SID20136421     39.333579544038436     
SID20136475     33.66296015692708     
SID20136649     31.048867526247296     
SID20136833     51.12797143245609     
SID20137021     36.2159947586335     
SID20137485     42.235477557297266     
SID20137674     44.67196791093196     
SID20137797     43.13803196462603     
SID20138021     36.95822155845907     
SID20138029     24.555263961557714     
SID20138039     19.417054492660007     
SID20138433     16.984289003886445     
SID20138663     36.50774199412928     
SID20138867     37.18503852245808     
SID20138886     37.12345375541249     
SID20138939     31.456803393657143     
SID20138952     22.65612436566816     
SID20139009     38.620688735330276     
SID20139695     36.727189001482124     
SID20139751     41.40091260459075     
SID20139856     25.59631140835142     
SID20139878     28.428589782740453     
SID20141484     36.29500089429246     
SID20141686     35.45947754189012     
SID20142356     27.112352024300137     
SID20142395     23.86902762466874     
SID20142540     26.46330952344471     
SID20142655     35.70313054333831     
SID20142834     28.746731075790326     
SID20142845     40.95613575544433     
SID20142853     30.57552424958613     
SID20143010     35.8936041479572     
SID20143108     32.168175215519334     
SID20143162     32.86771078049989     
SID20143186     20.380822784527567     
SID20143295     25.77717368403738     
SID20143391     50.39573870623586     
SID20143470     27.713148780685668     
SID20143497     29.243135745363823     
SID20143875     24.17482171952728     
SID20144037     39.316554995273314     
SID20144137     28.78608959764196     
SID20144302     30.442192593778305     
SID20144887     19.03195275083225     
SID20145061     24.51969056717297     
SID20145453     39.262242677745526     
SID20145606     42.571554580590735     
SID20145652     36.56535785414162     
SID20145708     46.316395000570736     
SID20146985     39.37526934103947     
SID20147007     36.8356170456941     
SID20147200     35.79870708419148     
SID20147408     38.728016903871044     
SID20147803     36.115234192292704     
SID20148031     32.08598043950268     
SID20148178     26.64541118793849     
SID20148348     21.681007194490252     
