
======================================================================
Điểm Trung Tâm: Centroid {Exam3=81.88524590163935, Exam4=58.58606557377049, Exam5=56.43852459016394, Exam6=61.24180327868852, Exam1=79.18442622950819, Exam2=60.545081967213115, Exam7=43.459016393442624}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131443     28.225120622549777     
SID20131703     50.258447374726366     
SID20131804     28.287199063866257     
SID20131823     60.91933708502413     
SID20131936     17.814896825734998     
SID20132388     42.063983948657246     
SID20132995     24.58678289597641     
SID20133005     43.14797327907663     
SID20133507     34.41861474137013     
SID20133542     36.53464636447377     
SID20133560     39.64982035053394     
SID20133680     40.491772789860434     
SID20133797     44.605668147431615     
SID20134063     27.61536264164596     
SID20134161     36.36554022869312     
SID20134683     55.09449460514933     
SID20134703     30.58463223972869     
SID20134974     33.41850951822627     
SID20135122     36.607041220841246     
SID20135298     60.69611264236936     
SID20135792     39.93726709490702     
SID20136179     38.02460452012069     
SID20136527     39.96916915996394     
SID20136701     37.40388852486376     
SID20137174     30.296919576036583     
SID20137236     40.949409708431205     
SID20137380     43.63702809590417     
SID20137398     41.099958813669794     
SID20137616     34.392765986327284     
SID20138259     34.498064446442896     
SID20138349     34.47168081802481     
SID20138428     51.34751474242018     
SID20138442     28.090924817604428     
SID20138486     29.40352479249823     
SID20138510     29.05311796805433     
SID20138633     33.94453129223156     
SID20138788     41.486142952898184     
SID20138829     42.00850879532223     
SID20139226     51.79034081149302     
SID20139301     30.806935424073885     
SID20139373     25.38558500331957     
SID20139653     29.02771527057573     
SID20139775     31.0580111582874     
SID20141326     61.199767422091895     
SID20141974     31.41475676102245     
SID20142263     28.76461951420231     
SID20142451     45.71097789077865     
SID20142478     36.00093429652984     
SID20142984     39.57180721120483     
SID20142996     19.839149689112006     
SID20143221     36.54743234765837     
SID20143232     41.122986967246234     
SID20143955     29.41453401308042     
SID20143981     44.072240153982094     
SID20144115     30.31666302725787     
SID20144286     22.40447974950565     
SID20145170     27.872838733712015     
SID20145567     34.27674341409226     
SID20145681     29.31809810987806     
SID20145723     32.9816400698702     
SID20146207     32.2260467618228     
SID20146232     40.80071589769035     
SID20146358     29.264929910766483     
SID20146645     33.82709251851014     
SID20146835     33.31828707826402     
SID20147162     56.16903695850597     
SID20147171     30.351520739604872     
SID20147247     26.767855534113846     
SID20147265     27.158340651526743     
SID20147277     38.280693992117484     
SID20147292     41.577126333568124     
SID20147718     31.14866612506224     
SID20147719     26.27646315858924     
SID20147769     48.86751971747505     
SID20148072     24.307154544008995     
SID20148196     32.34727127205088     
SID20148547     33.84332355002361     
SID20148578     40.58639913583395     
SID20148623     34.02183567960352     
SID20149241     29.195104991572812     
SID20149456     33.79618357627706     
SID20151422     59.51726619344248     
SID20151594     38.75725283443395     
SID20151844     32.951057467945475     
SID20151966     37.51592087905328     
SID20152464     28.271692232663902     
SID20152580     50.06006285627174     
SID20153140     26.978924222256737     
SID20153274     35.16858776386998     
SID20153291     45.92110188237986     
SID20153506     57.08630272445089     
SID20154026     29.28117044030525     
SID20154150     63.74804445520194     
SID20154268     32.64139569390392     
SID20154310     68.44964686153581     
SID20154525     29.928221092541435     
SID20154557     32.737055628242814     
SID20155112     50.06759422555206     
SID20155305     35.15739865318713     
SID20155553     19.19533049587865     
SID20155573     36.73400253653562     
SID20155697     37.56232056144512     
SID20155891     36.726973043140696     
SID20156222     40.73929578481605     
SID20156242     36.96810842760096     
SID20156326     41.060352118859115     
SID20156396     44.36179560801525     
SID20156409     32.71188270679415     
SID20156416     34.98866408546278     
SID20156779     25.66559969936367     
SID20156934     33.76378977145864     
SID20156982     38.028376696323555     
SID20157426     40.16372302553933     
SID20157467     55.16808941675604     
SID20157805     31.81248942377525     
SID20157903     39.10873942907461     
SID20157980     29.278091032124234     
SID20158196     39.1732393357905     
SID20158455     60.413683647518155     
SID20158457     29.598572042319365     
SID20158475     25.16017653630062     
SID20158562     38.69650797216012     
SID20158628     33.40440323473778     
SID20158658     60.95995776369048     
SID20158776     30.01409600084014     
SID20159257     32.37348730148057     
SID20159556     28.458800673901013     
SID20159742     41.53185691822022     
SID20159862     33.63573029072316     
SID20161133     59.20921553820222     
SID20162688     38.031394167900366     
SID20162716     28.06625752049363     
SID20163199     35.514278699341965     
SID20163252     26.156089935517148     
SID20164217     35.772872651829935     
SID20164462     32.94757472195979     
SID20164826     48.17907230248395     
SID20164962     22.306583415343574     
SID20165263     46.58662009485558     
SID20165299     32.935755517894734     
SID20165522     44.998652709085576     
SID20165580     27.736199783311683     
SID20165755     41.881390578399326     
SID20165811     20.450902214098022     
SID20165818     38.826664718642505     
SID20165853     28.098510398533605     
SID20165856     37.426672238033966     
SID20166480     48.21852638370962     
SID20166791     30.6411283348524     
SID20167029     46.115251821397734     
SID20167287     32.671766395519334     
SID20167595     36.933614234014414     
SID20167833     62.53236584697384     
SID20167994     26.70991818106996     
SID20168563     34.04640119245328     
SID20168658     31.14721877529635     
SID20168714     50.017554866398875     
SID20168784     31.188639031693704     
SID20168931     44.5547376523781     
SID20168953     29.448511188287004     
SID20169211     35.96790543029619     
