
======================================================================
Điểm Trung Tâm: Centroid {Exam3=84.28947368421052, Exam4=71.39473684210526, Exam5=82.65789473684211, Exam6=81.08552631578948, Exam1=59.06907894736842, Exam2=84.125, Exam7=61.67434210526316}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131407     33.854229188805114     
SID20131889     32.0187591769466     
SID20132171     35.42045784526428     
SID20132304     29.342077605014108     
SID20132626     32.053259827154726     
SID20132735     33.57900569465732     
SID20132852     34.467618552853146     
SID20132913     50.397991211740475     
SID20133032     29.941999059053394     
SID20133084     28.283520257893464     
SID20133306     21.918890969585238     
SID20133308     34.39328870073862     
SID20133690     35.52181897709954     
SID20133812     29.19146671041019     
SID20133822     25.239320665429066     
SID20133823     33.92382553945386     
SID20133872     31.099008145797104     
SID20133920     44.48739788760689     
SID20134176     29.97428094514813     
SID20134704     28.235446037127026     
SID20134870     46.72973405118479     
SID20135166     22.081717664637768     
SID20135169     32.74709134965853     
SID20135364     33.19495272778263     
SID20135707     38.17183643900355     
SID20135919     41.88208249321115     
SID20136079     43.038044886499605     
SID20136094     45.573577204684106     
SID20136119     37.868587068964196     
SID20136208     33.73118800894004     
SID20136796     27.722015614987626     
SID20136912     39.009069691273986     
SID20137027     45.91120883973802     
SID20137396     34.43496375350185     
SID20137865     24.369893900158573     
SID20138029     28.53985472374298     
SID20138039     24.83809981438187     
SID20138108     49.512926459660235     
SID20138156     42.7965307530232     
SID20138450     38.12561843874227     
SID20138523     27.92925069697467     
SID20138663     39.82581670315635     
SID20138867     38.078221324417214     
SID20138939     38.76774150420121     
SID20138952     32.49600610714357     
SID20139419     25.62592010712132     
SID20139520     40.63238133454046     
SID20139569     39.320841430598215     
SID20139695     42.05131129152295     
SID20141431     39.59378795334515     
SID20141516     42.82780260617403     
SID20141707     25.140073739994364     
SID20141841     35.028798562111525     
SID20142014     33.28441459633586     
SID20142286     33.12581108869538     
SID20142297     38.0286027016748     
SID20142395     19.218025865802925     
SID20142488     36.58691371270301     
SID20142540     36.21441472629571     
SID20142701     35.81297754004732     
SID20142845     43.78412524468005     
SID20142925     23.377837959322814     
SID20143032     28.207938268093347     
SID20143251     32.95436864689585     
SID20143295     32.23786417552694     
SID20143436     27.139811353138278     
SID20143459     30.947912815767634     
SID20143470     34.586993939306396     
SID20143497     30.860205038540748     
SID20143901     43.127911249039016     
SID20144137     26.637619663486543     
SID20144887     26.60141255192321     
SID20144986     33.70709190206802     
SID20145061     26.831656328608656     
SID20145436     34.69875460027708     
SID20146071     40.04500287202856     
SID20146319     32.32712552168008     
SID20146465     30.31539720426494     
SID20146496     21.31646614016934     
SID20146534     38.680926787320374     
SID20147007     33.57077586030565     
SID20147483     43.10158920344911     
SID20147803     33.4738254739861     
SID20148348     20.184599190830113     
SID20148500     26.49857776262395     
SID20148959     29.76349127564696     
SID20149465     67.16630689070648     
SID20149468     47.82303884629729     
SID20149625     34.02481126085147     
SID20149831     26.899733754693692     
SID20151284     30.502646861331414     
