
======================================================================
Điểm Trung Tâm: Centroid {Exam3=74.24846625766871, Exam4=63.88957055214724, Exam5=55.533742331288344, Exam6=88.37423312883436, Exam1=79.35889570552148, Exam2=55.78834355828221, Exam7=71.43558282208589}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131278     19.439309100480873     
SID20131506     24.184051219679116     
SID20131830     36.42325643692067     
SID20131998     36.86890541034273     
SID20132013     34.1753452501451     
SID20132137     46.76862106389442     
SID20132300     45.878710350852415     
SID20132369     36.39562253253862     
SID20132530     33.90771835542624     
SID20132556     40.231503263841084     
SID20132627     36.6449168164984     
SID20132664     36.93739840433712     
SID20132856     41.98170346020517     
SID20133542     32.17165790971717     
SID20133658     27.68252736160708     
SID20133750     32.174994896444765     
SID20133751     42.532379462254596     
SID20134016     41.65167701817944     
SID20134173     38.63392278604104     
SID20134363     30.639556847733793     
SID20134424     26.195529326756247     
SID20134504     30.70666064948595     
SID20134757     35.20697246403302     
SID20134852     44.228182611057456     
SID20134899     36.8798029704389     
SID20135122     37.793801090664665     
SID20135146     31.985381855067292     
SID20135449     42.00880263754532     
SID20135484     41.51217859174429     
SID20135559     39.25311431852014     
SID20135687     43.51034982604737     
SID20135731     35.6152357918999     
SID20135953     39.866844193030886     
SID20136067     28.451825428360113     
SID20136281     33.52496902489232     
SID20136513     34.20342772830507     
SID20136527     35.574301259240215     
SID20136638     42.27151054001635     
SID20136800     49.50872379863037     
SID20136943     51.24550187314413     
SID20137236     50.02119417945152     
SID20137616     34.938643708558715     
SID20137797     31.171555614186683     
SID20137917     39.755119926745635     
SID20137984     41.33935114425437     
SID20138021     44.38402812981225     
SID20138150     40.28681971313343     
SID20138208     34.96707814866662     
SID20138311     33.44233553130973     
SID20138349     29.3474571534149     
SID20138486     37.83119905236446     
SID20138866     40.21304753797912     
SID20138886     34.02340752741311     
SID20138909     36.153943038066316     
SID20139236     30.028773353262107     
SID20139360     32.684074126311465     
SID20139469     43.83002153072473     
SID20141126     30.92773472328445     
SID20141561     34.40810098146458     
SID20141686     35.344625709220594     
SID20141760     46.812151583216625     
SID20141776     42.07906218655969     
SID20142066     21.432092549836913     
SID20142097     34.713864412880014     
SID20142356     30.55283448976958     
SID20142447     36.990923969204246     
SID20142666     43.48933571723215     
SID20142797     29.49290632643911     
SID20142853     33.09148300554831     
SID20143162     30.36804285178083     
SID20143221     40.73779228062231     
SID20143337     39.81179175626131     
SID20143437     35.38010414030582     
SID20143736     39.259834322940975     
SID20143800     42.406558291811415     
SID20144115     34.128010403952054     
SID20144411     40.9419414112826     
SID20144513     41.203708983652916     
SID20144766     33.26658803376645     
SID20144878     38.61510070047363     
SID20144894     43.23629882228647     
SID20144963     36.908487256396356     
SID20145183     34.92441780707209     
SID20145270     28.48135094761081     
SID20145288     45.65767114760735     
SID20145553     38.25644324764758     
SID20145723     38.897658574758935     
