
======================================================================
Điểm Trung Tâm: Centroid {Exam3=81.58008658008659, Exam4=83.97835497835497, Exam5=55.79220779220779, Exam6=83.85281385281385, Exam1=85.48484848484848, Exam2=66.80952380952381, Exam7=81.991341991342}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131231     37.68900533699838     
SID20131278     22.29014880349394     
SID20131800     29.23405470442175     
SID20131830     34.55408706384965     
SID20131946     38.02855611250904     
SID20132816     31.756072431572914     
SID20132884     36.30167727038162     
SID20133120     31.883888335858668     
SID20133222     33.0757702531286     
SID20133308     34.32664076412714     
SID20133314     24.91878752622488     
SID20133385     28.374850113494663     
SID20133549     44.655657983719806     
SID20133750     26.07992373442818     
SID20134103     34.655104599574415     
SID20134333     44.387048122636074     
SID20134363     28.730462548846077     
SID20134637     34.06592281618489     
SID20134900     21.704181921986414     
SID20135146     23.622437741493435     
SID20135339     17.350788681816073     
SID20135373     32.03282403930358     
SID20135426     24.57381489926925     
SID20135449     40.443403856501554     
SID20135484     29.54961485385059     
SID20135953     26.79128238072937     
SID20136281     29.450267675344403     
SID20136638     34.89647766745696     
SID20136800     32.00165847166853     
SID20137092     34.95299995055324     
SID20137405     28.094885569330298     
SID20137718     43.35370081520773     
SID20137844     32.43912176874999     
SID20137917     29.034724655942654     
SID20137992     31.5628637808032     
SID20138050     29.368499150278538     
SID20138204     30.35465114666969     
SID20138248     45.51007307177082     
SID20138432     31.486375771482944     
SID20139236     21.188038719148917     
SID20139360     31.715422899580236     
SID20139613     24.812676508190005     
SID20139962     23.600986797965604     
SID20141126     26.824063587785425     
SID20141516     41.31871265016837     
SID20141553     36.306864309928564     
SID20141561     35.29924759634474     
SID20141776     40.88170663200236     
SID20141814     37.78891701059211     
SID20142066     31.106611780334827     
SID20142097     34.60228700750046     
SID20142447     37.60489050587648     
SID20142708     35.009060019735635     
SID20142834     33.64749268496737     
SID20143111     35.815455289274304     
SID20143129     39.22564976495315     
SID20143337     29.06050707307497     
SID20143736     38.46173785902619     
SID20143814     29.741201142022053     
SID20143821     35.431631591442226     
SID20144017     31.48905667675453     
SID20144162     72.2902554754941     
SID20144302     32.54736937392055     
SID20144691     36.00261651629732     
SID20144766     28.401383988633043     
SID20144860     41.09494441686988     
SID20144878     26.33866345425221     
SID20144894     33.6194980197774     
SID20144963     28.702649279696193     
SID20145417     30.583398113607473     
SID20145553     31.428095592262046     
SID20145606     39.992451640620345     
SID20145769     30.96391696144599     
SID20145930     34.88357379476606     
SID20146577     33.20385151344531     
SID20146743     32.99511438847792     
SID20147273     41.30781502532845     
SID20147407     25.348097726599267     
SID20147521     37.83625688956961     
SID20147809     40.71798901942234     
SID20147961     27.376524803292313     
SID20148159     46.580959614599685     
SID20148226     32.576285393604024     
SID20148587     26.392436234494518     
SID20149017     29.850168372451783     
SID20149273     29.021824858156087     
SID20149518     38.979155239765156     
SID20149602     17.43292892024114     
SID20149986     62.115153482249895     
SID20151242     28.83259034754656     
SID20151274     25.84431573402215     
SID20151518     34.08288340903847     
SID20151731     25.63349063056006     
SID20151733     35.269250031027966     
SID20152052     34.67015380483238     
SID20152150     41.23113602409891     
SID20152460     36.745439949176365     
SID20152611     26.44650890474964     
SID20152638     36.75604137876855     
SID20152753     31.31646313925046     
SID20153013     29.291010358034026     
SID20153090     38.381403295909955     
SID20153272     31.028092248375135     
SID20153945     34.264474268334624     
SID20154299     18.997780626874228     
SID20154342     36.47085769425542     
SID20155054     27.493448214453995     
SID20155081     32.302782872392754     
SID20155093     37.33025185260437     
SID20155833     25.01917182462536     
SID20155988     35.87149500084047     
SID20156075     26.52398403997593     
SID20156112     33.97678858063739     
SID20156165     35.302006827698264     
SID20156639     47.89904243457729     
SID20157074     32.408547285324374     
SID20157678     39.436151448147285     
SID20158111     34.423358592658936     
SID20158295     26.34219694221628     
SID20158299     42.32688293976051     
SID20158434     35.28685905537061     
SID20158587     29.356114688640904     
SID20158637     34.56016270557786     
SID20158965     40.59841974834556     
SID20159175     39.17264039258682     
SID20159307     42.906498538086105     
SID20159558     18.854135867485628     
SID20159560     31.39598503852118     
SID20159565     23.92995907798653     
SID20161188     31.036601732499907     
SID20161221     35.04181296337027     
SID20161237     41.78436292160207     
SID20161572     39.62511116679175     
SID20161608     31.721155181721464     
SID20162122     26.58243076651935     
SID20162190     41.24819395130741     
SID20162603     24.11530019259293     
SID20162653     27.39430846506816     
SID20162803     35.36895938240842     
SID20162908     43.05365219639487     
SID20163192     41.00562306918763     
SID20163311     32.171719954810214     
SID20163410     31.204153866599032     
SID20163436     35.378199041897766     
SID20163604     29.72074351616669     
SID20163612     25.82638667784206     
SID20164036     32.209576127107965     
SID20164916     38.29377892353631     
SID20165102     47.037450285415105     
SID20165190     21.930085630471776     
SID20165461     23.426639614733748     
SID20165821     48.045005933538654     
SID20166031     23.63883365620278     
SID20166301     29.12902477480585     
SID20166606     20.100237930202056     
SID20166806     24.890802164317662     
SID20166813     25.130009955202347     
SID20166839     36.41467043458435     
SID20167212     24.772603870265062     
SID20167569     33.45576128440559     
SID20167670     47.99907644676623     
SID20167970     34.27918982260263     
