
======================================================================
Điểm Trung Tâm: Centroid {Exam3=74.33620689655173, Exam4=63.185344827586206, Exam5=44.814655172413794, Exam6=49.456896551724135, Exam1=69.9353448275862, Exam2=81.82112068965517, Exam7=68.75}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131191     32.97762356210802     
SID20131244     33.4234514088531     
SID20131384     25.790643196588903     
SID20131443     39.50990099321634     
SID20131529     53.40119332849736     
SID20131603     40.52508206646542     
SID20131618     40.71296117366361     
SID20131764     32.708053431110486     
SID20131834     23.942053622573212     
SID20131936     34.58388653012036     
SID20131943     43.05572212294482     
SID20131983     32.34028981718121     
SID20132137     47.79853951683078     
SID20132211     93.069854376888     
SID20132258     32.96938811012158     
SID20132360     43.03564521710321     
SID20132388     45.23871016268493     
SID20132440     29.196310004400694     
SID20132511     28.65072726904993     
SID20132513     25.7726706484956     
SID20132775     63.39811566282713     
SID20133005     53.020916828373906     
SID20133095     54.37475676309258     
SID20133121     47.19737939039988     
SID20133123     38.227060291928325     
SID20133235     37.774483276923654     
SID20133311     61.13461997307564     
SID20133497     36.4368542201337     
SID20133507     47.55593295533564     
SID20133520     37.14890169552005     
SID20133560     41.4179958465162     
SID20133680     56.35560921760017     
SID20133719     50.07233940056608     
SID20133729     36.23079087638359     
SID20133911     38.36100571221222     
SID20134143     59.954094800858336     
SID20134240     60.75971925042371     
SID20134249     41.98755399266384     
SID20134260     29.651676709187477     
SID20134421     38.48183002419452     
SID20134491     27.05490013512051     
SID20134581     46.873936224552466     
SID20134761     41.46968606947313     
SID20134820     29.414142164142373     
SID20134828     81.784791398401     
SID20134974     50.0781065861358     
SID20135020     53.9107055513604     
SID20135154     60.12356128275623     
SID20135178     49.915121410843774     
SID20135280     39.88612498286754     
SID20135291     34.18607097792244     
SID20135297     37.376952615730794     
SID20135406     30.081103599022708     
SID20135661     28.187754750477517     
SID20135672     56.43567012715145     
SID20135789     45.32086221990736     
SID20135792     40.09651546401291     
SID20135890     18.33894106136933     
SID20136287     47.16992796348076     
SID20136637     48.95945226561394     
SID20136677     31.562369026464456     
SID20136701     44.9643770948541     
SID20136794     32.10096465320272     
SID20136916     70.72964822875004     
SID20136918     31.36894522883451     
SID20137166     42.01274889360616     
SID20137174     32.05642171305902     
SID20137365     74.22030022944485     
SID20137385     60.6276612692302     
SID20137402     56.82032662589214     
SID20137461     41.851980968366554     
SID20137639     42.62104912150679     
SID20138084     49.994632821699135     
SID20138144     37.011850859960575     
SID20138175     40.85558503090973     
SID20138248     48.692361511814205     
SID20138259     41.24383382055911     
SID20138360     51.85945397079427     
SID20138449     57.85082213176702     
SID20138594     32.498507137235244     
SID20138640     65.9644133470305     
SID20138683     33.71664943180966     
SID20138788     48.51112955072125     
SID20138923     46.282467082604605     
SID20139023     32.016259887491735     
SID20139260     42.789354145837436     
SID20139592     34.8854336849968     
SID20139653     25.283094405168324     
SID20139776     65.26591786770831     
SID20139821     40.51199737937111     
SID20139880     38.75289133520988     
SID20139904     29.390319787021927     
SID20141546     45.03162146387992     
SID20141639     34.82749905300208     
SID20141690     57.6610371700704     
SID20141737     64.80443019613305     
SID20141991     51.766780060894924     
SID20142218     41.629083011229376     
SID20142478     37.95133499915247     
SID20142550     38.95767421114912     
SID20142582     60.30895627954641     
SID20142793     52.79484072831586     
SID20142827     33.74578442041213     
SID20142847     46.04254442560069     
SID20143232     48.21474449624912     
SID20143287     30.131642789323863     
SID20143463     43.91594087231485     
SID20143642     50.12658494125715     
SID20143803     49.69911572734432     
SID20143917     61.697485283331126     
SID20143941     30.167026997585754     
SID20143942     31.873773684763943     
SID20144037     48.94554011535078     
SID20144286     33.97060647206588     
SID20144524     54.01239034681316     
SID20144568     29.894317311626974     
SID20144571     70.32435591681198     
SID20144863     25.553231132703036     
SID20144885     31.398885889700722     
SID20144989     42.567719280807374     
SID20145033     44.19595316874338     
SID20145148     48.306559138527994     
SID20145289     70.19392743612192     
SID20145318     80.95910760427121     
SID20145386     43.03188914503184     
SID20145453     40.73952626911226     
SID20145485     37.772543402774026     
SID20145567     44.215990639336525     
SID20145599     44.978801910692816     
SID20145672     40.02286459371519     
SID20145691     25.727056077693614     
SID20145773     35.28397654221656     
SID20145847     61.63957696892112     
SID20145851     55.75398115314091     
SID20145894     86.46455044346389     
SID20146037     36.01624921515621     
SID20146232     40.52348659911842     
SID20146300     24.187885980752753     
SID20146478     32.62657633571609     
SID20146492     53.879474698025184     
SID20146645     41.57836847171398     
SID20146935     66.97408428749833     
SID20147058     26.807783878824402     
SID20147176     40.71333172244729     
SID20147221     49.39602839623186     
SID20147247     41.72387103834916     
SID20147277     36.05775349128929     
SID20147292     44.587307231418784     
SID20147523     39.44908810550412     
SID20147641     85.99427326929651     
SID20147720     32.121300816575435     
SID20147787     23.128621631275887     
SID20147791     48.7285977841657     
SID20147845     52.47378196523609     
SID20147931     43.441919616218996     
SID20147936     24.78202283519451     
SID20147963     39.93364583402329     
SID20148150     38.727634710718654     
SID20148293     51.54285495763125     
SID20148305     44.17463815136579     
SID20148324     34.78087118850948     
SID20148351     39.9061662413212     
SID20148424     63.93155311260872     
SID20148516     43.390393430009354     
SID20148548     43.52429405568208     
SID20148804     67.17836808499239     
SID20149062     29.23422711676242     
SID20149269     32.56991737590177     
SID20149395     27.010972239468604     
SID20149456     42.43399987579859     
SID20149641     33.125446525718566     
SID20149715     58.21680229622034     
SID20149744     59.22620605264454     
SID20149991     71.89424369512317     
SID20151122     30.295206186343535     
SID20151132     41.003652494296986     
SID20151289     35.55868680826445     
SID20151557     81.30767152555501     
SID20151584     60.26376964367705     
SID20151623     31.460668394109213     
SID20151789     36.6453464224967     
SID20151831     34.1506858709935     
SID20151966     40.00465965028495     
SID20152081     31.058099625634313     
